vial_mass_mg,diluent_volume_ml,concentration_mg_per_ml,concentration_ug_per_ul,volume_for_100ug_ul,volume_for_250ug_ul,volume_for_500ug_ul
2,0.5,4.0000,4.0000,0.0250,0.0625,0.1250
2,1,2.0000,2.0000,0.0500,0.1250,0.2500
2,2,1.0000,1.0000,0.1000,0.2500,0.5000
2,3,0.6667,0.6667,0.1500,0.3750,0.7500
2,5,0.4000,0.4000,0.2500,0.6250,1.2500
2,10,0.2000,0.2000,0.5000,1.2500,2.5000
5,0.5,10.0000,10.0000,0.0100,0.0250,0.0500
5,1,5.0000,5.0000,0.0200,0.0500,0.1000
5,2,2.5000,2.5000,0.0400,0.1000,0.2000
5,3,1.6667,1.6667,0.0600,0.1500,0.3000
5,5,1.0000,1.0000,0.1000,0.2500,0.5000
5,10,0.5000,0.5000,0.2000,0.5000,1.0000
10,0.5,20.0000,20.0000,0.0050,0.0125,0.0250
10,1,10.0000,10.0000,0.0100,0.0250,0.0500
10,2,5.0000,5.0000,0.0200,0.0500,0.1000
10,3,3.3333,3.3333,0.0300,0.0750,0.1500
10,5,2.0000,2.0000,0.0500,0.1250,0.2500
10,10,1.0000,1.0000,0.1000,0.2500,0.5000
15,0.5,30.0000,30.0000,0.0033,0.0083,0.0167
15,1,15.0000,15.0000,0.0067,0.0167,0.0333
15,2,7.5000,7.5000,0.0133,0.0333,0.0667
15,3,5.0000,5.0000,0.0200,0.0500,0.1000
15,5,3.0000,3.0000,0.0333,0.0833,0.1667
15,10,1.5000,1.5000,0.0667,0.1667,0.3333
20,0.5,40.0000,40.0000,0.0025,0.0063,0.0125
20,1,20.0000,20.0000,0.0050,0.0125,0.0250
20,2,10.0000,10.0000,0.0100,0.0250,0.0500
20,3,6.6667,6.6667,0.0150,0.0375,0.0750
20,5,4.0000,4.0000,0.0250,0.0625,0.1250
20,10,2.0000,2.0000,0.0500,0.1250,0.2500
30,0.5,60.0000,60.0000,0.0017,0.0042,0.0083
30,1,30.0000,30.0000,0.0033,0.0083,0.0167
30,2,15.0000,15.0000,0.0067,0.0167,0.0333
30,3,10.0000,10.0000,0.0100,0.0250,0.0500
30,5,6.0000,6.0000,0.0167,0.0417,0.0833
30,10,3.0000,3.0000,0.0333,0.0833,0.1667
50,0.5,100.0000,100.0000,0.0010,0.0025,0.0050
50,1,50.0000,50.0000,0.0020,0.0050,0.0100
50,2,25.0000,25.0000,0.0040,0.0100,0.0200
50,3,16.6667,16.6667,0.0060,0.0150,0.0300
50,5,10.0000,10.0000,0.0100,0.0250,0.0500
50,10,5.0000,5.0000,0.0200,0.0500,0.1000
